component,bagofwords
com.javiersantos.mlmanager.ApplicationTest,public Application Test super class 
com.javiersantos.mlmanager.AppInfo,public Info String name version source data Drawable icon Boolean System this system string split length Name return Version Source Data Icon void 
com.javiersantos.mlmanager.MLManagerApplication,Override public void Create super Preferences this Package Name equals Iconics register Font Google Material static return Retrieve Manager true false otherwise Boolean String javiersantos mlmanagerpro 
com.javiersantos.mlmanager.async.ExtractFileInBackground,public Extract File Background Context context Material Dialog dialog Info this activity Activity 
com.javiersantos.mlmanager.async.DeleteDataInBackground,public Delete Data Background Context context Material Dialog dialog String directory success Description this activity Activity 
com.javiersantos.mlmanager.async.UninstallInBackground,public Uninstall Background Context context Material Dialog dialog Info this activity Activity Override protected void Post Execute Boolean status super dismiss Builder material Utils show Uninstalled callback Button Callback Positive Root reboot System Negative Intent intent Main class Flags FLAG ACTIVITY TASK CLEAR finish start else Title Content Resources String string root required description 
com.javiersantos.mlmanager.utils.UtilsUI,public static darker color double factor Color alpha green blue return argb Math Drawer Navigation Activity activity final Context context Toolbar toolbar Adapter System Favorite Hidden Recycler View recycler String loading Label header Preferences Manager Application apps system Apps favorite hidden Night drawable else night null Integer Item Count Account Header Result Builder with Background build badge Compat divider Badge Style Text GRAY drawer Status Utils Primary Items Name Resources string action Icon Google Material phone android Identifier Divider favorites star visibility Secondary settings Selectable false about info shop description Click Listener Override boolean view position switch case break Dialog show Features start Intent Settings class Flags FLAG ACTIVITY TASK About default actual Hour Calendar Instance HOUR 
com.javiersantos.mlmanager.utils.UtilsApp,Default folder where will saved return File with path public static Folder Environment External Storage Directory Manager Custom Preferences Application Path Boolean copy Info false initial Source final Output Filename Utils true catch Exception print Stack Trace Retrieve extracted param String output switch case Version break Name default Delete files have been deleted otherwise Files exists list length Opens Google Play installed opens browser context Context Package void start Activity Intent ACTION VIEW parse market details Found https play google store apps Plus plus your version code Code Share intent Action SEND Extra EXTRA STREAM from Type application android package archive Flags FLAG ACTIVITY TASK marked favorite check Favorites contains Save menu Item Menu Icon Compat Drawable drawable white else border hidden Hidden Hide button change Floating Button Title Resources string action unhide visibility icon cache Cache Stream Bitmap compress Compress Format Delelete remove removed From bitmap Factory decode banner troll Permissions activity Self Manifest permission WRITE EXTERNAL STORAGE PERMISSION GRANTED request READ PERMISSIONS REQUEST 
com.javiersantos.mlmanager.utils.AppPreferences,public Preferences Context context this shared Manager Default Shared editor Root Status return Rooted void root commit Primary Color Resources color primary Integer Boolean Navigation Black false Show String Custom Filename Sort Mode Path Utils Folder path Favorite Apps Hash favorite remove Hidden hidden 
com.javiersantos.mlmanager.utils.UtilsRoot,public static boolean Rooted root Status Manager Application Preferences false ROOT STATUS CHECKED Build File Executing Command ROOTED else true return String build Tags TAGS null contains test keys file system Superuser exists catch Exception Execute xbin which remove With Permission directory status command Process process Runtime exec wait exit Value print Stack Trace hide Boolean hidden unhide uninstall source write mount remount delete read reboot System long Folder Size size Directory list Files Absolute Path length 
com.javiersantos.mlmanager.utils.UtilsDialog,public static Material Dialog show Title Content Context context String title content Builder material positive Text Resources android string cancelable true return With Progress false progress Uninstall dialog uninstall root description button negative Uninstalled Info format uninstalled Name reboot later Show Snackbar param activity Activity Button file File remove style extracted display without hidden apps Nullable final Integer snack switch case View Click Listener Override void view delete break null Utils Root System default Features Simple Adapter adapter Item feature icon Iconics Drawable Google visibility color Color GRAY size background WHITE build list phonelink erase action Compat mipmap launcher Callback Selection Char Sequence char Positive Single Action which Play Manager Application Package 
com.javiersantos.mlmanager.adapters.AppAdapter,public Adapter List Info Context context this Preferences Manager Application Override Item Count return size void clear notify Data Changed Bind View Holder Name Text Icon Image Drawable Button Events private final Flat Extract Share Card card Background Color Primary Click Listener view Material Dialog dialog Utils show Title Content With Progress String format Resources string saving description File execute copy Intent share Output Filename start Activity create Chooser send activity intent class version Version Source data Bitmap bitmap icon System Build VERSION CODES LOLLIPOP transition Options make Scene Transition Animation Bundle else override Pending anim slide right fade back Filter protected Results perform Filtering Char Sequence char Return results Array Search null Lower Case contains values count publish filter Main Message false true Create Group Layout Inflater from inflate layout 
com.javiersantos.mlmanager.activities.AboutActivity,private void Initial Configuration Toolbar toolbar find View Support Action Title string action about Navigation Click Listener Override public view Back Pressed Build VERSION CODES LOLLIPOP Window Flags Manager Layout Params FLAG DRAWS SYSTEM BACKGROUNDS Status Color Utils darker Preferences Primary Background Black Screen Elements Text header Name Version name Card googleplay googleplus Resources String Application Context codename Google Plus context Javier Santos javitoro Play Package communities super override Pending Transition anim fade forward slide right 
com.javiersantos.mlmanager.activities.AppActivity,private void Initial Configuration Toolbar toolbar find View Support Action null Title Home Button Enabled true Display Navigation Click Listener Override public view Back Pressed Build VERSION CODES LOLLIPOP Window Flags Manager Layout Params FLAG DRAWS SYSTEM BACKGROUNDS Status Color Utils darker Preferences Primary Background Black Screen Elements Text header Image icon googleplay name version Card card start extract uninstall cache clear Data data Floating Actions Menu share final hide Drawable Info Icon Name Version Normal System Visibility GONE else Google Play context Long boolean Clip clip Clipboard clipboard Service Context CLIPBOARD SERVICE Plain Dialog show Snackbar activity Resources String string copied return false Intent intent Package Launch Activity catch Null Pointer Exception print Stack Trace format dialog cannot open ACTION UNINSTALL PACKAGE parse package Extra EXTRA RETURN RESULT Result REQUEST Material Content With Progress saving description Extract File execute Root Rooted Application Builder material Uninstall callback Callback Positive Uninstalling uninstalling dismiss VISIBLE deleting Delete success Foreground copy Share Output Filename create Chooser send Hidden apps Boolean hidden Permission remove From Cache Apps reboot button save action Features Expanded collapse super override Pending Transition anim fade forward slide right Create Options menu Inflater inflate Prepare item favorite Item Favorite Selected switch case home finish 
com.javiersantos.mlmanager.activities.MainActivity,private void Pull Refresh View final pull Listener Override public Adapter clear System Favorite recycler null Installed Apps execute post Delayed Runnable Refreshing false boolean Query Text Change String search Empty Filter filter else Lower Case return static Results Message Boolean result Visibility VISIBLE fast Scroller GONE Submit query Create Options Menu menu Inflater inflater main Item find action Search Compat Action this Manager Service Context SEARCH SERVICE Searchable Info Component Name true Request Permissions request Code permissions grant switch case PERMISSIONS REQUEST WRITE READ Package GRANTED Utils Dialog show Title Content context Resources string dialog description Back Pressed drawer Drawer Open close Visible Iconified Collapsed double Exit Once super Toast make exit LENGTH SHORT Handler 
com.javiersantos.mlmanager.activities.LicenseActivity,Override public void Create Bundle saved Instance State Intent Libs Builder with Activity Title Resources String string settings license Style LIGHT DARK TOOLBAR Auto Detect true intent this super Back Pressed override Pending Transition anim fade forward slide right 
com.javiersantos.mlmanager.activities.SettingsActivity,Override public void Create Bundle saved Instance State super Preferences From Resource settings this context Manager Application Shared prefs Default register Change Listener Version find License Primary Color Ambil Warna Delete Values Navigation Black Custom Filename Sort Mode Path Initial Configuration String version Name Utils Code Title Resources string Click boolean preference start Activity Intent About class override Pending Transition anim slide right fade back return false Summary deleting Enabled Boolean delete Files done else error true color primary final Directory Chooser chooser builder allow Read Only Modification initial Dialog Fragment show null Content View layout Group content Layout Inflater from inflate activity Linear toolbar Toolbar Text white view Back Pressed Wrapper wrapper Window Changed shared Select Null path dismiss Cancel forward 
com.javiersantos.mlmanager.listeners.HidingScrollListener,Override public void Scrolled Recycler View recycler super scrolled Distance HIDE THRESHOLD controls Visible Hide false else Show true abstract 
